name,length,number of words
"South Park: Bigger, Longer & Uncut",29,6
The Texas Chain Saw Massacre,24,5
Dodgeball: A True Underdog Story,28,5
La piel que habito,15,4
Ruby Sparks,10,2
Layer Cake,9,2
Rounders,8,1
Superman,8,1
Day of the Dead,12,4
Marathon Man,11,2
Midnight Cowboy,14,2
Life of Brian,11,3
Raising Arizona,14,2
Moon,4,1
Clerks,6,1
Drag Me to Hell,12,4
Brazil,6,1
The Bourne Supremacy,18,3
Trois couleurs: Rouge,19,3
A History of Violence,18,4
The Hangover,11,2
Scott Pilgrim vs. the World,23,5
The Producers,12,2
Animal Kingdom,13,2
The Hudsucker Proxy,17,3
Jerry Maguire,12,2
Speed,5,1
True Grit,8,2
Cool Hand Luke,12,3
Zombieland,10,1
American: The Bill Hicks Story,26,5
Crash,5,1
The Graduate,11,2
A Bronx Tale,10,3
Låt den rätte komma in,18,5
As Good as It Gets,14,5
Das Boot,7,2
A Serious Man,11,3
The Fly,6,2
The Wrestler,11,2
Titanic,7,1
Finding Nemo,11,2
The Fugitive,11,2
Star Wars,8,2
The Hustler,10,2
Per un pugno di dollari,19,5
Don't Look Now,12,3
Fantastic Mr. Fox,15,3
The Mist,7,2
Field of Dreams,13,3
Rise of the Planet of the Apes,24,7
Moneyball,9,1
Jackass Number Two,16,3
The Fighter,10,2
Mud,3,1
Hodejegerne,11,1
This Is the End,12,4
Gone Girl,8,2
Guardians of the Galaxy,20,4
Serbuan Maut 2: Berandal,21,4
Mad Max: Fury Road,15,4
The Descent,10,2
Patriots Day,11,2
2001: A Space Odyssey,18,4
Insomnia,8,1
Capturing the Friedmans,21,3
The Curious Case of Benjamin Button,30,6
Batman,6,1
Sleepy Hollow,12,2
The Third Man,11,3
Spider-Man 2,11,2
24 Hour Party People,17,4
The Blair Witch Project,20,4
End of Watch,10,3
WALL·E,6,1
The Imposter,11,2
Salvador,8,1
X2,2,1
Spider-Man,10,1
North by Northwest,16,3
Inside Man,9,2
Face/Off,8,1
The Lego Movie,12,3
Batoru rowaiaru,14,2
Mission: Impossible - Ghost Protocol,32,5
Mission: Impossible,18,2
Collateral,10,1
Edge of Tomorrow,14,3
Snowpiercer,11,1
Blade,5,1
The Artist,9,2
The Crying Game,13,3
Grizzly Man,10,2
Starship Troopers,16,2
Dig!,4,1
Caché,5,1
Idi i smotri,10,3
Jûsan-nin no shikaku,18,3
Gone Baby Gone,12,3
Rango,5,1
Trois couleurs: Blanc,19,3
Murderball,10,1
Dogville,8,1
Blow Out,7,2
Marley,6,1
American Splendor,16,2
Changeling,10,1
Braveheart,10,1
The Fisher King,13,3
Wild at Heart,11,3
Control,7,1
In the Loop,9,3
Cop Land,7,2
Oldeuboi,8,1
Black Swan,9,2
Salinui chueok,13,2
Willy Wonka & the Chocolate Factory,30,6
Argo,4,1
Dawn of the Planet of the Apes,24,7
The Taking of Pelham One Two Three,28,7
50/50,5,1
Notting Hill,11,2
The Grand Budapest Hotel,21,4
The Proposition,14,2
Bernie,6,1
The Aviator,10,2
Knuckle,7,1
Paths of Glory,12,3
A Hard Day's Night,15,4
Holy Motors,10,2
Moonrise Kingdom,15,2
Capitalism: A Love Story,21,4
Galaxy Quest,11,2
A Room for Romeo Brass,18,5
Big,3,1
L'instinct de mort,16,3
Performance,11,1
Michael Clayton,14,2
The Fifth Element,15,3
Shaun of the Dead,14,4
The Spy Who Loved Me,16,5
A Monster Calls,13,3
"I, Tonya",7,2
El secreto de sus ojos,18,5
Broadcast News,13,2
The Goonies,10,2
Rebel Without a Cause,18,4
Training Day,11,2
Coco,4,1
Avengers: Infinity War,20,3
Mission: Impossible - Fallout,26,4
The Wind that Shakes the Barley,26,6
Cemetery Junction,16,2
Before the Devil Knows You're Dead,29,6
Sunset Blvd.,11,2
8 Mile,5,2
The Incredibles,14,2
The Hurt Locker,13,3
Santa Sangre,11,2
Gangs of New York,14,4
Basic Instinct,13,2
Sing Street,10,2
The Omen,7,2
Winter's Bone,12,2
The Avengers,11,2
Die Hard 2,8,3
Affliction,10,1
Invasion of the Body Snatchers,26,5
American Pie 2,12,3
Buffalo Soldiers,15,2
Wolf Creek,9,2
Four Lions,9,2
Dip huet seung hung,16,4
Say Anything...,14,2
The Insider,10,2
Home Alone,9,2
Dances with Wolves,16,3
25th Hour,8,2
Rosemary's Baby,14,2
Easy Rider,9,2
Exit Through the Gift Shop,22,5
Artificial Intelligence: AI,25,3
Total Recall,11,2
Side Effects,11,2
Killer Joe,9,2
The Queen of Versailles,20,4
Taxi to the Dark Side,17,5
Point Blank,10,2
Back to the Future Part II,21,6
Leaving Las Vegas,15,3
Poltergeist,11,1
Tinker Tailor Soldier Spy,22,4
The Searchers,12,2
The Spectacular Now,17,3
Deliverance,11,1
From Russia with Love,18,4
American Movie,13,2
Trois couleurs: Bleu,18,3
"Monsters, Inc.",13,2
Life of Pi,8,3
Good Vibrations,14,2
Revenge of the Nerds,17,4
Blade Runner,11,2
Captain America: The Winter Soldier,31,5
The Great Escape,14,3
The Last Waltz,12,3
Scent of a Woman,13,4
Midnight Run,11,2
Thief,5,1
The Elephant Man,14,3
Rocky,5,1
Vertigo,7,1
El Topo,6,2
Kill List,8,2
The Dead Zone,11,3
Mary and Max,10,3
Dr. No,5,2
GoldenEye,9,1
Zero Dark Thirty,14,3
The World's End,13,3
Election,8,1
Escape from Alcatraz,18,3
Un condamné à mort s'est échappé ou Le vent souffle où il veut,50,13
The Cabin in the Woods,18,5
Silver Linings Playbook,21,3
Rush,4,1
Elf,3,1
The Abyss,8,2
Gravity,7,1
Her,3,1
Captain Phillips,15,2
Bound,5,1
Half Nelson,10,2
Munich,6,1
Traffic,7,1
Nightcrawler,12,1
X-Men: Days of Future Past,22,5
Mistaken for Strangers,20,3
The Bad Lieutenant: Port of Call - New Orleans,38,9
A Bug's Life,10,3
Whiplash,8,1
Shutter Island,13,2
Star Wars: Episode VII - The Force Awakens,35,8
Lat sau san taam,13,4
The Place Beyond the Pines,22,5
Happy Gilmore,12,2
Kramer vs. Kramer,15,3
Wonder Boys,10,2
War of the Worlds,14,4
